CVE_ID;Year;CVSS_Score;Severity;Attack_Vector;Attack_Complexity;Privileges_Required;User_Interaction;Confidentiality_Impact;Integrity_Impact;Availability_Impact;Automatable
CVE-2023-0001;2023;6.0;MEDIUM;LOCAL;LOW;HIGH;NONE;HIGH;NONE;HIGH;
CVE-2023-0002;2023;5.5;MEDIUM;LOCAL;LOW;LOW;NONE;NONE;NONE;HIGH;no
CVE-2023-0003;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0004;2023;6.5;MEDIUM;NETWORK;LOW;HIGH;NONE;NONE;HIGH;HIGH;
CVE-2023-0005;2023;4.1;MEDIUM;LOCAL;HIGH;HIGH;NONE;HIGH;NONE;NONE;no
CVE-2023-0006;2023;6.3;MEDIUM;LOCAL;HIGH;LOW;NONE;NONE;HIGH;HIGH;no
CVE-2023-0007;2023;6.5;MEDIUM;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;NONE;no
CVE-2023-0008;2023;4.4;MEDIUM;NETWORK;HIGH;HIGH;NONE;HIGH;NONE;NONE;no
CVE-2023-0009;2023;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0010;2023;5.4;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;NONE;no
CVE-2023-0011;2023;7.6;HIGH;PHYSICAL;LOW;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0012;2023;6.4;MEDIUM;LOCAL;HIGH;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0013;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0014;2023;9.0;CRITICAL;NETWORK;HIGH;NONE;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0015;2023;4.6;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0016;2023;9.9;CRITICAL;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0017;2023;9.4;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;LOW;yes
CVE-2023-0018;2023;10.0;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0019;2023;6.5;MEDIUM;NETWORK;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0020;2023;8.5;HIGH;NETWORK;LOW;LOW;NONE;HIGH;NONE;LOW;no
CVE-2023-0021;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0022;2023;9.9;CRITICAL;NETWORK;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0023;2023;4.5;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;HIGH;NONE;NONE;no
CVE-2023-0024;2023;6.5;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;LOW;no
CVE-2023-0025;2023;6.5;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;LOW;no
CVE-2023-0026;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;NONE;HIGH;yes
CVE-2023-0027;2023;5.3;MEDIUM;NETWORK;LOW;NONE;NONE;LOW;NONE;NONE;no
CVE-2023-0028;2023;5.7;MEDIUM;NETWORK;LOW;HIGH;REQUIRED;LOW;LOW;HIGH;yes
CVE-2023-0029;2023;5.3;MEDIUM;;;;;;;;
CVE-2023-0030;2023;7.8;HIGH;LOCAL;LOW;LOW;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0033;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0034;2023;5.4;MEDIUM;NETWORK;LOW;LOW;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0035;2023;6.5;MEDIUM;LOCAL;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0036;2023;6.5;MEDIUM;LOCAL;LOW;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0037;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0038;2023;7.2;HIGH;;;;;;;;yes
CVE-2023-0040;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;NONE;HIGH;NONE;no
CVE-2023-0041;2023;6.3;MEDIUM;NETWORK;LOW;LOW;NONE;LOW;LOW;LOW;no
CVE-2023-0042;2023;6.1;MEDIUM;NETWORK;HIGH;NONE;REQUIRED;HIGH;NONE;NONE;no
CVE-2023-0043;2023;6.1;MEDIUM;NETWORK;LOW;NONE;REQUIRED;LOW;LOW;NONE;no
CVE-2023-0044;2023;;;;;;;;;;no
CVE-2023-0045;2023;4.7;MEDIUM;LOCAL;HIGH;LOW;NONE;HIGH;NONE;NONE;no
CVE-2023-0046;2023;7.2;HIGH;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0048;2023;7.2;HIGH;NETWORK;LOW;HIGH;NONE;HIGH;HIGH;HIGH;no
CVE-2023-0049;2023;7.3;HIGH;LOCAL;LOW;LOW;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0050;2023;8.7;HIGH;NETWORK;LOW;LOW;REQUIRED;HIGH;HIGH;NONE;no
CVE-2023-0051;2023;7.3;HIGH;LOCAL;LOW;LOW;REQUIRED;HIGH;HIGH;HIGH;no
CVE-2023-0052;2023;9.8;CRITICAL;NETWORK;LOW;NONE;NONE;HIGH;HIGH;HIGH;yes
CVE-2023-0053;2023;7.5;HIGH;NETWORK;LOW;NONE;NONE;HIGH;NONE;NONE;yes
CVE-2023-0054;2023;7.3;HIGH;LOCAL;LOW;LOW;REQUIRED;HIGH;HIGH;HIGH;no
